epoch,step,train_loss,val_loss
0,9,0.051165755838155746,
0,19,0.03096201829612255,
0,29,0.023964185267686844,
0,39,0.019216498360037804,
0,49,0.01977577432990074,
0,59,0.01626158319413662,
0,69,0.016436293721199036,
0,79,0.014015067368745804,
0,89,0.01297515258193016,
0,99,0.014012090861797333,
0,109,0.012189935892820358,
0,119,0.012482225894927979,
0,129,0.0121835982427001,
0,139,0.00821602251380682,
0,149,0.010219598188996315,
0,159,0.010897671803832054,
0,169,0.009060117416083813,
0,179,0.007645709440112114,
0,189,0.006975105963647366,
0,199,0.007530711591243744,
0,209,0.008416772820055485,
0,219,0.00608912855386734,
0,229,0.006941895931959152,
0,239,0.007455993443727493,
0,249,0.007701344788074493,
0,259,0.006633104756474495,
0,269,0.005868679843842983,
0,279,0.005448670592159033,
0,289,0.0044381944462656975,
0,299,0.005187154281884432,
0,309,0.006072546821087599,
0,319,0.0044593168422579765,
0,329,0.005702303722500801,
0,339,0.0052902912721037865,
0,349,0.003917546011507511,
0,359,0.0049395570531487465,
0,369,0.0049205380491912365,
0,379,0.004893279634416103,
0,389,0.004993043374270201,
0,399,0.003443616209551692,
0,409,0.0047430614940822124,
0,419,0.004169095307588577,
0,429,0.005185037385672331,
0,439,0.0044583603739738464,
0,449,0.005487882997840643,
0,459,0.004948853049427271,
0,469,0.005819626152515411,
0,478,,0.002854486694559455
1,479,0.0038479629438370466,
1,489,0.004036090802401304,
1,499,0.003958174958825111,
1,509,0.004113310016691685,
1,519,0.0031028492376208305,
1,529,0.003120953217148781,
1,539,0.003735163016244769,
1,549,0.004140022210776806,
1,559,0.004740932956337929,
1,569,0.0030449028126895428,
1,579,0.003284572623670101,
1,589,0.0034056794829666615,
1,599,0.005531420465558767,
1,609,0.0030682801734656096,
1,619,0.004841901361942291,
1,629,0.0038438434712588787,
1,639,0.004752659238874912,
1,649,0.003673418890684843,
1,659,0.004016641061753035,
1,669,0.0031722586136311293,
1,679,0.002435042755678296,
1,689,0.0024061142466962337,
1,699,0.0032902280800044537,
1,709,0.003798128804191947,
1,719,0.003034457564353943,
1,729,0.0028758076950907707,
1,739,0.0023776711896061897,
1,749,0.0020389859564602375,
1,759,0.0026330254040658474,
1,769,0.004227710422128439,
1,779,0.0030682869255542755,
1,789,0.004084588028490543,
1,799,0.003988881595432758,
1,809,0.003447204362601042,
1,819,0.0027025528252124786,
1,829,0.003379274858161807,
1,839,0.0038215280510485172,
1,849,0.0036345263943076134,
1,859,0.003553452668711543,
1,869,0.003000004915520549,
1,879,0.002010991098359227,
1,889,0.0014810021966695786,
1,899,0.002537923865020275,
1,909,0.005008001811802387,
1,919,0.0038741729222238064,
1,929,0.003036223351955414,
1,939,0.0031091030687093735,
1,949,0.0023831231519579887,
1,957,,0.0028363217134028673
2,959,0.002740803873166442,
2,969,0.0022980666253715754,
2,979,0.00239107059314847,
2,989,0.0035715103149414062,
2,999,0.0030977760907262564,
2,1009,0.002988584106788039,
2,1019,0.002438187599182129,
2,1029,0.002797159133478999,
2,1039,0.0030476911924779415,
2,1049,0.0021986267529428005,
2,1059,0.0023468327708542347,
2,1069,0.0023609749041497707,
2,1079,0.002154651563614607,
2,1089,0.0027333523612469435,
2,1099,0.0030928957276046276,
2,1109,0.0026158886030316353,
2,1119,0.0017963949358090758,
2,1129,0.002068215748295188,
2,1139,0.0022560786455869675,
2,1149,0.0017680299933999777,
2,1159,0.0024559935554862022,
2,1169,0.002044138265773654,
2,1179,0.003212355775758624,
2,1189,0.004137914627790451,
2,1199,0.0026570872869342566,
2,1209,0.0015475430991500616,
2,1219,0.002865780144929886,
2,1229,0.0018495912663638592,
2,1239,0.002973769558593631,
2,1249,0.002482721349224448,
2,1259,0.0018435362726449966,
2,1269,0.0021977240685373545,
2,1279,0.0017069913446903229,
2,1289,0.001803614548407495,
2,1299,0.002065695822238922,
2,1309,0.0024623358622193336,
2,1319,0.003370989114046097,
2,1329,0.0021142354235053062,
2,1339,0.002579915337264538,
2,1349,0.0023946722503751516,
2,1359,0.0018955664709210396,
2,1369,0.0019171367166563869,
2,1379,0.0025177234783768654,
2,1389,0.0018860552227124572,
2,1399,0.0019485559314489365,
2,1409,0.0016442969208583236,
2,1419,0.0017805121606215835,
2,1429,0.002261376939713955,
2,1436,,0.0034740103874355555
